,index,created_at,id,user id,full_text,localidad,retweet_count,favorite_count,clasification,tidy_text,CleanTweets,TokenizeTweetsTidy_text
20,51,19/10/2020 12:06,1.32e+18,1.17813e+18,"@SachaLlorenti ME EMOCIONA DE VERDAD!!!

VIVA EL PUEBLO, VIVAN LAS BUENAS PERSONAS, VIVA MÉXICO!!
VIVA AMLO!!!

VIVAN LOS GUERREROS QUE TIENEN UN CORAZÓN PARA DEFENDER LA PATRIA HERIDA!!!
VIVA MÉXICO CABRONES, Y EL PUEBLO VERDADERO UNIDO JAMÁS SERÁ VENCIDO!!!","Monterrey, Nuevo León.",0,0,0.0,@sachallorenti emociona verdad viva pueblo vivan buenas personas viva mexico viva amlo vivan guerreros corazon defender patria herida viva mexico cabrones pueblo verdadero unido jamas sera vencido,sachallorenti emociona verdad viva pueblo vivan buenas personas viva mexico viva amlo vivan guerreros corazon defender patria herida viva mexico cabrones pueblo verdadero unido jamas sera vencido,"['sachallorenti', 'emociona', 'verdad', 'viva', 'pueblo', 'vivan', 'buenas', 'personas', 'viva', 'mexico', 'viva', 'amlo', 'vivan', 'guerreros', 'corazon', 'defender', 'patria', 'herida', 'viva', 'mexico', 'cabrones', 'pueblo', 'verdadero', 'unido', 'jamas', 'sera', 'vencido']"
21,53,19/10/2020 12:05,1.32e+18,9.85299e+17,"@lopezobrador_ Abro hilo 1/4
Resulta curioso que los ""analistas"", seudoperiodistas y la clase política -derrotada-,contraria a la #4T encabezada por @lopezobrador_, están cantando victoria por 2 triunfos #electorales sobre #Morena,previsibles: #Coahuila e #Hidalgo,2 estados...",,0,0,0.0,@lopezobrador_ abro hilo 1/4 resulta curioso analistas seudoperiodistas clase politica -derrotada- contraria #4t encabezada @lopezobrador_ estan cantando victoria triunfos #electorales #morena previsibles: #coahuila #hidalgo,lopezobrador_ abro hilo 1/4 resulta curioso analistas seudoperiodistas clase politica -derrotada- contraria 4t encabezada lopezobrador_ estan cantando victoria triunfos electorales morena previsibles: coahuila hidalgo,"['lopezobrador_', 'abro', 'hilo', '1/4', 'resulta', 'curioso', 'analistas', 'seudoperiodistas', 'clase', 'politica', '-derrotada-', 'contraria', '4t', 'encabezada', 'lopezobrador_', 'estan', 'cantando', 'victoria', 'triunfos', 'electorales', 'morena', 'previsibles', ':', 'coahuila', 'hidalgo']"
22,59,19/10/2020 12:05,1.32e+18,1.3015e+18,"@Milenio @aguilarcamin Sigue Borolas corrupto asesino, no importa quien nos lo brinde a los mexicanos... Y digan lo que digan los medios chayoteros, se hará justicia con todos los ratas corruptos. Bken por la DEA, excelente AMLO 👍👏👏👏👏👏🇲🇽",,0,0,0.0,@milenio @aguilarcamin sigue borolas corrupto asesino importa brinde mexicanos digan digan medios chayoteros hara justicia ratas corruptos. bken dea excelente amlo 👍👏👏👏👏👏🇲🇽,milenio aguilarcamin sigue borolas corrupto asesino importa brinde mexicanos digan digan medios chayoteros hara justicia ratas corruptos. bken dea excelente amlo 👍👏👏👏👏👏🇲🇽,"['milenio', 'aguilarcamin', 'sigue', 'borolas', 'corrupto', 'asesino', 'importa', 'brinde', 'mexicanos', 'digan', 'digan', 'medios', 'chayoteros', 'hara', 'justicia', 'ratas', 'corruptos', '.', 'bken', 'dea', 'excelente', 'amlo', '👍👏👏👏👏👏🇲🇽']"
23,62,19/10/2020 12:05,1.32e+18,253908701.0,"@lopezobrador_ AMLO. Contigo estamos todos los mexicanos, apoyando al mejor presidente.",Los Angeles,1,1,0.0,@lopezobrador_ amlo. contigo mexicanos apoyando mejor presidente.,lopezobrador_ amlo. contigo mexicanos apoyando mejor presidente.,"['lopezobrador_', 'amlo', '.', 'contigo', 'mexicanos', 'apoyando', 'mejor', 'presidente', '.']"
24,65,19/10/2020 12:05,1.32e+18,1.06922e+18,@lopezobrador_ Así es señor presidente y gracias por saber gobernar nuestro país y el pueblo de la 4t sabemos todo lo que usted hace y se lo agradecemos,"Moscú, Rusia",1,3,0.0,@lopezobrador_ asi señor presidente gracias saber gobernar pais pueblo 4t sabemos usted hace agradecemos,lopezobrador_ asi señor presidente gracias saber gobernar pais pueblo 4t sabemos usted hace agradecemos,"['lopezobrador_', 'asi', 'señor', 'presidente', 'gracias', 'saber', 'gobernar', 'pais', 'pueblo', '4t', 'sabemos', 'usted', 'hace', 'agradecemos']"
25,72,19/10/2020 12:05,1.32e+18,185319924.0,"@lopezobrador_ Presidente Andrés Manuel 

De la manera más atenta y respetuosa 

Hoy le exijo la renovación o desaparición del INE 

Ya que se demostró que no está a la altura de las exigencias requeridas para garantizar elecciones limpias 
Y veraces 

Viva la 4T",México,0,0,0.0,@lopezobrador_ presidente andres manuel manera mas atenta respetuosa hoy exijo renovacion desaparicion ine demostro altura exigencias requeridas garantizar elecciones limpias veraces viva 4t,lopezobrador_ presidente andres manuel manera mas atenta respetuosa hoy exijo renovacion desaparicion ine demostro altura exigencias requeridas garantizar elecciones limpias veraces viva 4t,"['lopezobrador_', 'presidente', 'andres', 'manuel', 'manera', 'mas', 'atenta', 'respetuosa', 'hoy', 'exijo', 'renovacion', 'desaparicion', 'ine', 'demostro', 'altura', 'exigencias', 'requeridas', 'garantizar', 'elecciones', 'limpias', 'veraces', 'viva', '4t']"
26,79,19/10/2020 12:04,1.32e+18,1.09762e+18,"@MunozManuel6 @_VicenteSerrano @INEMexico El país está de luto desde hace tiempo atrás, ya que gente como tú, extrañan a esos pinches partidos y personas hpm corruptas, que seguramente te contrataban por nepotismo, amiguismo o muerde almohadas.
El proyecto AMLO, seguirá hasta que ezto cambie.",,0,0,0.0,@munozmanuel6 @_vicenteserrano @inemexico pais luto hace tiempo atras gente extrañan pinches partidos personas hpm corruptas seguramente contrataban nepotismo amiguismo muerde almohadas. proyecto amlo seguira ezto cambie.,munozmanuel6 _vicenteserrano inemexico pais luto hace tiempo atras gente extrañan pinches partidos personas hpm corruptas seguramente contrataban nepotismo amiguismo muerde almohadas. proyecto amlo seguira ezto cambie.,"['munozmanuel6', '_vicenteserrano', 'inemexico', 'pais', 'luto', 'hace', 'tiempo', 'atras', 'gente', 'extrañan', 'pinches', 'partidos', 'personas', 'hpm', 'corruptas', 'seguramente', 'contrataban', 'nepotismo', 'amiguismo', 'muerde', 'almohadas', '.', 'proyecto', 'amlo', 'seguira', 'ezto', 'cambie', '.']"
27,81,19/10/2020 12:04,1.32e+18,516851612.0,"@aramirezcuellar @CENMorenaMX mejor sigan peleando internamente, mucho movimiento de regeneración nacional, para poco dirigentes, como dice AMLO, el pueblo observa y tendrá la decisión, acuérdense del PRD.",mexico,0,0,0.0,@aramirezcuellar @cenmorenamx mejor sigan peleando internamente movimiento regeneracion nacional dirigentes dice amlo pueblo observa tendra decision acuerdense prd.,aramirezcuellar cenmorenamx mejor sigan peleando internamente movimiento regeneracion nacional dirigentes dice amlo pueblo observa tendra decision acuerdense prd.,"['aramirezcuellar', 'cenmorenamx', 'mejor', 'sigan', 'peleando', 'internamente', 'movimiento', 'regeneracion', 'nacional', 'dirigentes', 'dice', 'amlo', 'pueblo', 'observa', 'tendra', 'decision', 'acuerdense', 'prd', '.']"
28,84,19/10/2020 12:04,1.32e+18,2891380160.0,"Ya comienza la #ConferenciaPresidente de @lopezobrador_, y se pondrá muy buena. 

¿Qué temas hay? Muchos. Y seguro algún reportero o reportera le preguntará sobre las lecciones en Coahuila e Hidalgo. 

¡No te la pierdas!

#FelizLunes 👇

https://t.co/0OKsgxpIpx",Ciudad de México,0,3,0.0,comienza #conferenciapresidente @lopezobrador_ pondra buena. temas muchos. seguro algun reportero reportera preguntara lecciones coahuila hidalgo. pierdas #felizlunes https://t.co/0oksgxpipx,comienza conferenciapresidente lopezobrador_ pondra buena. temas muchos. seguro algun reportero reportera preguntara lecciones coahuila hidalgo. pierdas felizlunes ,"['comienza', 'conferenciapresidente', 'lopezobrador_', 'pondra', 'buena', '.', 'temas', 'muchos', '.', 'seguro', 'algun', 'reportero', 'reportera', 'preguntara', 'lecciones', 'coahuila', 'hidalgo', '.', 'pierdas', 'felizlunes']"
29,85,19/10/2020 12:04,1.32e+18,1.02256e+18,"EL EQUIPO DE BEISBOL DEL QUE LLEVA LAS RIENDAS PIO LÓPEZ OBRADOR, TENDRÁ “REGALO” ESPECIAL DE SU HERMANO

https://t.co/xMAMBzg3e8","Monterrey, Nuevo León",0,0,0.0,equipo beisbol lleva riendas pio lopez obrador tendra regalo especial hermano https://t.co/xmambzg3e8,equipo beisbol lleva riendas pio lopez obrador tendra regalo especial hermano ,"['equipo', 'beisbol', 'lleva', 'riendas', 'pio', 'lopez', 'obrador', 'tendra', 'regalo', 'especial', 'hermano']"
30,87,19/10/2020 12:04,1.32e+18,1323899587.0,@CarlosLoret @aaguirre_g #AmloElMejorPresidenteDelMundo #Amlo #Morena #AmloMasFuerteQueNunca #Amlo perros con hueso en el hocico no ladran...sigan ladrando @omarfayad  y sus delincuentes soltaron mucho dinero para conservar lo poco que les queda  #PreliminaresHidalgo #OmarFayad otro Jefe d #LordMontajes https://t.co/SZCAgtyFJY,"Puebla, México",0,0,0.0,@carlosloret @aaguirre_g #amloelmejorpresidentedelmundo #amlo #morena #amlomasfuertequenunca #amlo perros hueso hocico ladran sigan ladrando @omarfayad delincuentes soltaron dinero conservar queda #preliminareshidalgo #omarfayad jefe #lordmontajes https://t.co/szcagtyfjy,carlosloret aaguirre_g amloelmejorpresidentedelmundo amlo morena amlomasfuertequenunca amlo perros hueso hocico ladran sigan ladrando omarfayad delincuentes soltaron dinero conservar queda preliminareshidalgo omarfayad jefe lordmontajes ,"['carlosloret', 'aaguirre_g', 'amloelmejorpresidentedelmundo', 'amlo', 'morena', 'amlomasfuertequenunca', 'amlo', 'perros', 'hueso', 'hocico', 'ladran', 'sigan', 'ladrando', 'omarfayad', 'delincuentes', 'soltaron', 'dinero', 'conservar', 'queda', 'preliminareshidalgo', 'omarfayad', 'jefe', 'lordmontajes']"
31,92,19/10/2020 12:03,1.32e+18,35036854.0,Ya tengo listas las palomitas para ver la Mañanera de hoy.,contacto@tridenteideas.com,6,110,0.0,listas palomitas ver mañanera hoy.,listas palomitas ver mañanera hoy.,"['listas', 'palomitas', 'ver', 'mañanera', 'hoy', '.']"
32,98,19/10/2020 12:03,1.32e+18,7.25789e+17,"ANDRES MANUEL DEBE ESTAR AHORITA , SUPERENCABRONADO, Y YO QUE MANADABA A RECHINGAR A SU MADRE A PORFIRIO,MARIO Y CADA CABRON DE ESOS PENDEJOS ,YA QUE EL COMO BUEN ALBAÑIL CONSTRUYO ESE PARTIDO, Y ESTOS HIJOS DE SU PUTA MADRE LO ESTAN DINAMITANDO. SIN POCA MADRE POR PODER.",,0,0,0.0,andres manuel debe ahorita superencabronado manadaba rechingar madre porfirio mario cada cabron pendejos buen albañil construyo partido hijos puta madre estan dinamitando. poca madre poder.,andres manuel debe ahorita superencabronado manadaba rechingar madre porfirio mario cada cabron pendejos buen albañil construyo partido hijos puta madre estan dinamitando. poca madre poder.,"['andres', 'manuel', 'debe', 'ahorita', 'superencabronado', 'manadaba', 'rechingar', 'madre', 'porfirio', 'mario', 'cada', 'cabron', 'pendejos', 'buen', 'albañil', 'construyo', 'partido', 'hijos', 'puta', 'madre', 'estan', 'dinamitando', '.', 'poca', 'madre', 'poder', '.']"
33,102,19/10/2020 21:51,1.32e+18,1.19192e+18,"Si, pero y ¿Coahuila e Hidalgo que? Pónganse a trabajar, el pueblo los puede respaldar si presentan candidaturas de gente honesta, no de infiltrados corruptos y sin apoyo popular, hay que regresar al pueblo como AMLO, hay que ir casa por casa haciendo conciencia. Saludos. https://t.co/i6hkMPTxMy",,0,0,0.0,si coahuila hidalgo ponganse trabajar pueblo puede respaldar si presentan candidaturas gente honesta infiltrados corruptos apoyo popular regresar pueblo amlo ir casa casa haciendo conciencia. saludos. https://t.co/i6hkmptxmy,si coahuila hidalgo ponganse trabajar pueblo puede respaldar si presentan candidaturas gente honesta infiltrados corruptos apoyo popular regresar pueblo amlo ir casa casa haciendo conciencia. saludos. ,"['si', 'coahuila', 'hidalgo', 'ponganse', 'trabajar', 'pueblo', 'puede', 'respaldar', 'si', 'presentan', 'candidaturas', 'gente', 'honesta', 'infiltrados', 'corruptos', 'apoyo', 'popular', 'regresar', 'pueblo', 'amlo', 'ir', 'casa', 'casa', 'haciendo', 'conciencia', '.', 'saludos', '.']"
34,103,19/10/2020 21:51,1.32e+18,47306769.0,"A mi no me parece que @ChaviraGuada utilice esta fotografía sin citar al autor. No me enorgullecen milpaltenses así, ni son los valores que enarbola su movimiento #4T.
#CDMX #MilpaAlta #Tecómitl #ALDF https://t.co/t5hM5LwYel",Mexico City,0,0,0.0,parece @chaviraguada utilice fotografia citar autor. enorgullecen milpaltenses asi valores enarbola movimiento #4t. #cdmx #milpaalta #tecomitl #aldf https://t.co/t5hm5lwyel,parece chaviraguada utilice fotografia citar autor. enorgullecen milpaltenses asi valores enarbola movimiento 4t. cdmx milpaalta tecomitl aldf ,"['parece', 'chaviraguada', 'utilice', 'fotografia', 'citar', 'autor', '.', 'enorgullecen', 'milpaltenses', 'asi', 'valores', 'enarbola', 'movimiento', '4t', '.', 'cdmx', 'milpaalta', 'tecomitl', 'aldf']"
